Block   Block_avgCumulative_avg       Error
562   -0.432479   -0.442716  0.00355508
563   -0.470125   -0.442765   0.0035491
564   -0.340069   -0.442583  0.00354747
565   -0.374027   -0.442462  0.00354327
566   -0.497696   -0.442559  0.00353836
567   -0.492424   -0.442647  0.00353321
568    -0.38434   -0.442545  0.00352849
569   -0.417723   -0.442501  0.00352256
570    -0.40708   -0.442439  0.00351693
571   -0.377587   -0.442326  0.00351261
572   -0.470222   -0.442374  0.00350681
573   -0.553352   -0.442568  0.00350603
574   -0.461302     -0.4426  0.00350008
575    -0.53815   -0.442766  0.00349793
576   -0.445268    -0.44277  0.00349187
577   -0.409298   -0.442713   0.0034863
578   -0.411412   -0.442658   0.0034807
579   -0.308311   -0.442427   0.0034824
580   -0.567824   -0.442643   0.0034831
581   -0.481451   -0.442709  0.00347775
582   -0.396285    -0.44263  0.00347269
583    -0.17193   -0.442166  0.00349759
584   -0.446808   -0.442174  0.00349161
585   -0.425979   -0.442146  0.00348576
586   -0.437536   -0.442139  0.00347982
587    -0.46476   -0.442177  0.00347411
588   -0.527815   -0.442323  0.00347126
589   -0.336217   -0.442143  0.00347003
590    -0.46759   -0.442186  0.00346442
591   -0.378297   -0.442078  0.00346025
592   -0.413026   -0.442029  0.00345476
593   -0.524787   -0.442168  0.00345175
594   -0.394244   -0.442088  0.00344688
595   -0.507557   -0.442197  0.00344285
596    -0.42584    -0.44217  0.00343719
597   -0.512934   -0.442288  0.00343347
598   -0.532241   -0.442439  0.00343102
599    -0.40277   -0.442372  0.00342594
600    -0.54938    -0.44255  0.00342487
601   -0.472307     -0.4426  0.00341953
602   -0.382681   -0.442501   0.0034153
603   -0.462265   -0.442533   0.0034098
604   -0.424473   -0.442503  0.00340429
605   -0.449334   -0.442515  0.00339868
606   -0.453266   -0.442532  0.00339313
607    -0.36562   -0.442406   0.0033899
608   -0.490264   -0.442484  0.00338524
609   -0.388151   -0.442395  0.00338086
610   -0.492835   -0.442478  0.00337633
611   -0.459575   -0.442506  0.00337093
612   -0.426323    -0.44248  0.00336553
613   -0.485223   -0.442549  0.00336076
614   -0.518708   -0.442673  0.00335758
615   -0.539665    -0.44283  0.00335582
616   -0.451651   -0.442845  0.00335041
617    -0.33666   -0.442673  0.00334939
618   -0.448484   -0.442682  0.00334399
619   -0.479422   -0.442742  0.00333912
620   -0.447685   -0.442749  0.00333375
621    -0.55264   -0.442926  0.00333307
622   -0.527799   -0.443062   0.0033305
623   -0.460944   -0.443091  0.00332528
624   -0.515402   -0.443207  0.00332197
625   -0.426626    -0.44318  0.00331677
626   -0.447064   -0.443186  0.00331148
627   -0.347998   -0.443035  0.00330967
628   -0.509826   -0.443141  0.00330611
629   -0.460594   -0.443169  0.00330098
630   -0.334159   -0.442996  0.00330027
631   -0.258515   -0.442704  0.00330795
632   -0.520001   -0.442826  0.00330497
633   -0.411562   -0.442777  0.00330012
634   -0.473924   -0.442826  0.00329529
635   -0.477133    -0.44288  0.00329055
636   -0.429066   -0.442858  0.00328545
637   -0.420913   -0.442824  0.00328047
638   -0.328149   -0.442644  0.00328025
639   -0.404517   -0.442585  0.00327566
640 -0.00280577   -0.441899  0.00334173
641    -0.40774   -0.441846  0.00333695
642   -0.465233   -0.441882  0.00333195
643     -0.4709   -0.441927  0.00332708
644    -0.54738    -0.44209  0.00332594
645   -0.402449   -0.442029  0.00332135
646      -0.614   -0.442295  0.00332685
647   -0.477928    -0.44235  0.00332217
648     -0.4558   -0.442371  0.00331711
649   -0.450591   -0.442383  0.00331203
650   -0.464233   -0.442417  0.00330711
651   -0.447106   -0.442424  0.00330204
652   -0.478563   -0.442479  0.00329744
653   -0.497178   -0.442563  0.00329346
654    -0.32367   -0.442381  0.00329343
655     -0.4321   -0.442366  0.00328845
656   -0.418033   -0.442329  0.00328364
657   -0.398027   -0.442261  0.00327934
658    -0.49976   -0.442349  0.00327552
