#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         720           1    0.831833   0.0084709
         721           1    0.832067  0.00846236
         722           1    0.832299  0.00845384
         723           1    0.832531  0.00844532
         724           1    0.832762  0.00843683
         725           1    0.832993  0.00842834
         726           1    0.833223  0.00841987
         727           1    0.833453  0.00841142
         728           1    0.833681  0.00840297
         729           1    0.833909  0.00839454
         730           1    0.834137  0.00838612
         731        0.88      0.8342  0.00837489
         732        0.92    0.834317  0.00836427
         733        0.88    0.834379  0.00835309
         734        0.92    0.834496  0.00834252
         735        0.92    0.834612  0.00833198
         736        0.84     0.83462  0.00832067
         737        0.88    0.834681   0.0083096
         738        0.88    0.834743  0.00829857
         739        0.84     0.83475  0.00828734
         740        0.96    0.834919  0.00827787
         741        0.84    0.834926   0.0082667
         742        0.72    0.834771  0.00825701
         743        0.56    0.834401  0.00825418
         744        0.48    0.833925  0.00825682
         745        0.56    0.833557  0.00825392
         746        0.56     0.83319  0.00825099
         747        0.68    0.832985   0.0082425
         748        0.64    0.832727  0.00823552
         749        0.64     0.83247  0.00822854
         750        0.56    0.832107  0.00822558
         751        0.64    0.831851  0.00821861
         752        0.68    0.831649  0.00821016
         753         0.6    0.831341  0.00820502
         754        0.56    0.830981  0.00820202
         755        0.44    0.830464  0.00820749
         756        0.32    0.829788  0.00822436
         757        0.36    0.829168  0.00823688
         758        0.44    0.828654    0.008242
         759         0.4     0.82809  0.00825046
         760        0.48    0.827632  0.00825231
         761        0.48    0.827175   0.0082541
         762        0.44    0.826667  0.00825889
         763        0.36    0.826055  0.00827069
         764        0.48    0.825602  0.00827225
         765        0.36    0.824993   0.0082838
         766        0.48    0.824543  0.00828522
         767        0.48    0.824094  0.00828659
         768        0.48    0.823646   0.0082879
         769        0.56    0.823303  0.00828421
         770        0.56    0.822961  0.00828051
         771        0.68    0.822776  0.00827184
         772         0.6    0.822487  0.00826616
         773        0.56    0.822147  0.00826244
         774        0.56    0.821809   0.0082587
         775        0.64    0.821574  0.00825138
         776        0.48    0.821134  0.00825248
         777         0.4    0.820592  0.00825963
         778        0.36        0.82  0.00827021
         779         0.4    0.819461  0.00827715
         780        0.48    0.819026  0.00827797
         781        0.44     0.81854  0.00828158
         782        0.28    0.817852  0.00829958
         783        0.32    0.817216   0.0083133
         784        0.44    0.816735   0.0083166
         785        0.48    0.816306  0.00831707
         786         0.6    0.816031  0.00831104
         787        0.56    0.815705  0.00830684
         788        0.52     0.81533  0.00830477
         789        0.52    0.814956  0.00830268
         790         0.4     0.81443  0.00830876
         791        0.44    0.813957  0.00831173
         792        0.48    0.813535  0.00831193
         793         0.6    0.813266  0.00830581
         794        0.56    0.812947  0.00830147
         795        0.68     0.81278  0.00829271
         796        0.48    0.812362  0.00829282
         797        0.64    0.812146  0.00828524
         798        0.64     0.81193  0.00827766
         799        0.56    0.811615  0.00827331
         800        0.52     0.81125  0.00827099
         801        0.52    0.810886  0.00826865
         802        0.44    0.810424  0.00827127
         803         0.4    0.809913  0.00827674
         804        0.44    0.809453  0.00827923
         805        0.44    0.808994  0.00828165
         806        0.52    0.808635  0.00827913
         807         0.4    0.808129  0.00828435
         808        0.32    0.807525  0.00829609
         809        0.36    0.806972  0.00830426
         810        0.52    0.806617  0.00830156
         811        0.44    0.806165  0.00830362
         812        0.44    0.805714  0.00830563
         813         0.4    0.805215   0.0083104
         814         0.4    0.804717  0.00831508
         815        0.44     0.80427  0.00831691
         816        0.36    0.803725  0.00832452
         817        0.32    0.803133  0.00833536
